embryo_id,solver,trisomy21,phenotype,final_C,final_D,final_G,final_E,final_A,linear_score,nonlinear_score,probability,closure_time,closed,terminal_shear,peak_shear
1,stochastic_heun,false,false,0.7456345102037556,1.0046948117721737,0.6187524244753414,0.19865674102526035,0.5703518477450382,0.6980235379157117,0.591633776360061,0.42954424135107233,3.5,false,1.0505666842194021,1.0601311902105564
2,stochastic_heun,false,false,0.6110513623238458,1.3305830219583343,0.511942686344894,0.15884857142129435,0.6060339222278247,0.7950747050735877,0.59543673401557,0.2572864826178941,3.5,false,1.1750114921603505,1.178810597203113
3,stochastic_heun,false,false,0.754159111438899,1.638117548148728,0.3089906365431023,0.3157105729134699,0.578240589726643,1.0339864600352004,0.7912684446717003,0.048734117680163606,3.5,false,1.5255332701148405,1.5444418717789687
4,stochastic_heun,true,false,0.7116543342724085,1.7516085607251277,0.41634008291037716,0.2735936556058208,0.6244037214389321,1.0646153991307163,0.7906491718570899,0.03855150840702334,3.5,false,1.131809385105291,1.1387663062458628
5,stochastic_heun,true,false,0.8115508859089676,0.9415569142325305,0.538881824863577,0.20128734312396968,0.5501620490246082,0.6950907090797304,0.5949021727524113,0.4353026851873589,3.5,false,1.0655646677320971,1.0655646677320971
6,stochastic_heun,false,false,1.047767554284194,2.1480931077631706,0.026209025542450474,0.43169836581260396,0.6041600445527109,1.2555299275906306,1.014596331944853,0.008630695824877022,3.18,true,2.2216841903433675,2.2216841903433675
7,stochastic_heun,false,false,0.7261934816709225,1.3688958398817384,0.3823494606136899,0.21323013682722522,0.5592816324233111,0.8549868360414756,0.6777540193064004,0.17662000397096136,3.5,false,1.285825207740503,1.285825207740503
8,stochastic_heun,true,false,0.9516592746559408,1.1717527076109544,0.17179987239407038,0.31254510513295786,0.6032918267143653,1.0044805023984218,0.8386250115582067,0.06091842984182275,3.5,false,1.6586067026628117,1.6748217256780282
9,stochastic_heun,false,false,0.6080458683719537,1.0910909078542559,0.28971569350453197,0.3092600134944712,0.5668960276258497,0.8032994222603338,0.6861331929330728,0.24491521529887106,3.5,false,1.5227149613303033,1.5227149613303033
10,stochastic_heun,false,false,0.8497151196314449,1.129694047772531,0.4050752811120141,0.32965313233915855,0.6160129866002,0.877461171618885,0.7782935235402,0.15197269799407986,3.5,false,1.3261967433231843,1.3261967433231843
11,stochastic_heun,false,false,0.799598340450576,0.8402141303500026,0.07402962353114052,0.360667465843073,0.6545848389787166,0.8115516411364458,0.7506304389750224,0.23291291596972089,3.24,true,2.0528703479131454,2.0528703479131454
12,stochastic_heun,false,false,0.796928628020645,1.2772113238033802,0.48615137239193185,0.2880706434561025,0.5994214350046436,0.8661447238780338,0.7620385281967265,0.16401121848742195,3.5,false,1.1562522846518821,1.1563276649079846
13,stochastic_heun,false,false,0.690870546838574,1.1571928554304036,0.4572006789117794,0.2307686712843616,0.6105344603046992,0.7320146467813317,0.6129164317131304,0.36455693734797723,3.5,false,1.1260527057838732,1.127262175444286
14,stochastic_heun,false,false,0.9381973112425712,0.931532824554021,0.7706251067987606,0.26279002302535254,0.598462597791388,0.821580502103606,0.7217575323926861,0.21888659343701558,3.5,false,0.7675240110244771,0.7675240110244771
15,stochastic_heun,false,false,0.9917447558156126,1.6382875128658905,0.07927291588761724,0.3811881387577175,0.7013010590746741,1.1974516289830344,0.9608420770492171,0.01366530502215189,3.3,true,2.0052623643751333,2.0052623643751333
16,stochastic_heun,false,false,0.7114658895928465,0.970158074584256,0.779964335008435,0.23412620205035914,0.5030779104097467,0.68676938640696,0.6039638926410454,0.4517313738348153,3.5,false,0.7864835635118925,0.796609369373946
17,stochastic_heun,false,false,0.7914642489284953,1.172580961328307,0.30461801681190415,0.38229159273445096,0.6133990742445432,0.8152624261849476,0.7442503576506608,0.2276511379565557,3.5,false,1.4590105100576403,1.4590105100576403
18,stochastic_heun,false,true,0.5534765264135787,0.983271239250787,0.5675974697014944,0.13790484572126432,0.5289136515890199,0.6137456459135331,0.4993970560956591,0.5964060095856476,3.5,false,0.9215577385239587,0.9310607162794917
19,stochastic_heun,false,false,0.7405335915279558,1.235566487618243,0.31374988361060685,0.27053748856205306,0.6356259325398362,0.8105370083461884,0.7040046183436471,0.2343662896459038,3.5,false,1.2960637770950214,1.3115061935679129
20,stochastic_heun,true,false,0.8219191508538608,0.9858594758845753,0.530042502097712,0.20967578114890323,0.5814079258350353,0.7895092222224024,0.6541205902984959,0.26588606535089926,3.5,false,1.052329502817054,1.0571921157321937
21,stochastic_heun,false,false,0.967016795581487,0.9356123371855646,1.0000000000000004e-6,0.38703534809374596,0.6223090060765384,0.9104527215426252,0.8218734899674466,0.12098404789881104,3.11,true,2.29476881926579,2.29476881926579
22,stochastic_heun,false,false,0.7356780191749653,1.1254795256974692,0.4838617908780108,0.2435074730163342,0.6464973306994893,0.8720538602335005,0.7390050879101803,0.1576320421186361,3.5,false,1.0487294526612936,1.0502983671541828
23,stochastic_heun,false,true,0.5964611390245321,0.7987667195398788,0.5749776043478683,0.1975029525348822,0.6063607374215527,0.5649771907791652,0.5150039803713286,0.6858223204841492,3.5,false,0.8622049636047106,0.8710972150881907
24,stochastic_heun,false,false,0.7792346399221382,1.0141151902035552,0.5908740867337754,0.23767142983961093,0.6350535295384531,0.7237848937079643,0.6369363046492128,0.37994027811789366,3.5,false,0.9779727954257583,0.9791736627342832
25,stochastic_heun,false,false,0.9248817095672744,0.8721090345241613,0.6955627651069826,0.1709673454943413,0.4830303683896435,0.737472914735637,0.611282609070642,0.3545025113185538,3.5,false,0.8583993872790049,0.8583993872790049
26,stochastic_heun,false,false,0.8058858858156239,1.239432976014181,0.37883894314148653,0.20397269477734226,0.5560430938996211,0.8179375890936925,0.6591496042277545,0.22391017774605837,3.5,false,1.304677142644705,1.304677142644705
27,stochastic_heun,true,false,0.8896441105201421,1.3922290284902834,0.30767609267119456,0.28435770418471296,0.6235102483555043,0.962947420624185,0.8143045600355601,0.08293646393578341,3.5,false,1.5032829211025904,1.5032829211025904
28,stochastic_heun,false,false,0.6867861619551913,1.0536574571037582,0.5087376642773423,0.2895515826501924,0.6320244551686547,0.6828533918631283,0.6343479089845212,0.4595014873144447,3.5,false,1.2588311090185418,1.2588311090185418
29,stochastic_heun,true,false,0.960515123716122,1.1820940593810862,0.45117845673548895,0.2158103780241036,0.6562474545287537,0.8166477121047272,0.7021704427882799,0.2257084659699724,3.5,false,1.1410139713592262,1.1410139713592262
30,stochastic_heun,false,false,0.5484763092532996,1.0196523523206327,0.40391817972617167,0.23217544075685653,0.6050724633329176,0.7564606724604583,0.6372343446244159,0.32055815122467046,3.5,false,1.1790427048654886,1.1790427048654886
