embryo_id,solver,trisomy21,phenotype,final_C,final_D,final_G,final_E,final_A,linear_score,nonlinear_score,probability,closure_time,closed,terminal_shear,peak_shear
1,stochastic_heun,true,false,0.8450976628217829,1.1390462563063117,0.1690361795059001,0.3374230282961677,0.6471928343130039,0.9026045897003265,0.8050700478723358,0.12782150623808405,3.5,false,1.813789761219464,1.813789761219464
2,stochastic_heun,true,false,0.9788708167927033,1.0895150910771225,0.29214456694388463,0.3218193720673467,0.5769074703558384,0.812125382805252,0.7304398690274008,0.2320938633948788,3.5,false,1.3267678250504127,1.3340452288428937
3,stochastic_heun,true,false,0.8635892467870484,1.242582949843288,0.35542491936580806,0.27294755527716985,0.6271362019129273,0.8312806059092586,0.7185599105045886,0.20590839853204826,3.5,false,1.342134421487797,1.3584619202213015
4,stochastic_heun,true,false,0.6048232010939759,1.1814704623196257,0.31055876124531845,0.2842289723638621,0.6517333162186552,0.7367140300026968,0.6381985788321833,0.3558929829546906,3.5,false,1.3169992013073661,1.3169992013073661
5,stochastic_heun,true,false,0.801577328203104,1.0579965229525026,0.55057276104651,0.1933353760843703,0.5610584680816447,0.782220800494445,0.6427886283571027,0.27742131528366226,3.5,false,1.1303443142702534,1.1303443142702534
6,stochastic_heun,true,true,0.5591533655031291,0.9403826803945079,0.6577692687946775,0.1254881043743989,0.5678011705794783,0.5783119741910928,0.4610481786958222,0.6623941396908247,3.5,false,0.9792157322752111,0.9792157322752111
7,stochastic_heun,true,false,0.7282428515376396,1.5191138359334047,0.5084441567670912,0.24728875416154114,0.5666558563162263,0.9099079957627361,0.7196561757674433,0.12144825310116893,3.5,false,1.0487324867843029,1.0487324867843029
8,stochastic_heun,true,false,0.8328280695363584,0.9194948908343409,0.5095591666827466,0.24326126551764624,0.658378351133181,0.7967456256269875,0.6896986105465427,0.25474040945869353,3.5,false,0.9580577394542263,0.9664547438985923
9,stochastic_heun,true,false,0.5064279620236474,1.4116599379244725,0.3531466453383982,0.2591097940751037,0.7298039182729169,0.8419654033076784,0.6619249490816475,0.19228264374989293,3.5,false,1.3981515202380885,1.4249425302192535
10,stochastic_heun,true,false,1.0017070452641355,0.8603056861106041,0.8034013129995616,0.21867567580124653,0.5680234880843308,0.7497422381787106,0.6536812534094479,0.3323755130008538,3.5,false,0.8120116749697655,0.8120116749697655
11,stochastic_heun,true,false,0.8956469379760902,1.5378969239454048,0.4232996125897035,0.2921069257890583,0.6215060618963458,0.882141665775929,0.7616107806136978,0.14720965984621756,3.5,false,1.2685839763039044,1.2942942124057202
12,stochastic_heun,true,false,1.0046963167540028,0.9992063622190537,0.4798755649746387,0.30825419765521966,0.671605725177143,0.8597768093399996,0.7747189325506535,0.17111621021105927,3.5,false,1.1636627772275894,1.1694422671880134
13,stochastic_heun,true,true,0.3940746487871325,0.8143824880064857,0.8911858109195763,0.13411254072283468,0.5527297274451048,0.55673272812179,0.42900835580363933,0.6998567064424532,3.5,false,0.7449626739471458,0.7515058654034087
14,stochastic_heun,true,false,0.5696868745450008,1.4824525327029991,0.5284519532348392,0.192192105267917,0.5811000189260906,0.8387328371356046,0.6478065293246341,0.1963310337012574,3.5,false,1.18224607569511,1.18224607569511
15,stochastic_heun,true,false,0.6674357425600148,1.0656926667546578,0.6732204210520911,0.20433873708008496,0.6243659126931232,0.6801726018593622,0.5735303549942797,0.46483231831845095,3.5,false,0.8673016992281384,0.8673016992281384
16,stochastic_heun,true,false,0.5605211323522828,0.8087166982670416,0.5919540012608887,0.1903007123437027,0.6219006069032846,0.6707573147103213,0.5483959612790158,0.48361060126932853,3.5,false,1.0266503384748962,1.0266503384748962
17,stochastic_heun,true,false,0.6195797588320924,1.1726601219645503,0.4735346833402076,0.1829110347232148,0.5656606661866181,0.6689305638735117,0.5581413274275061,0.4872609867937078,3.5,false,1.10901517311111,1.1161074547113066
