parameter,posterior_mean,lower_credible,upper_credible,rhat
alpha_DMP,0.6180465290800512,0.42348741677589286,0.7809322152872691,1.0483577420529258
alpha_EMT,0.8004141719630342,0.5824764846168429,1.0266115748911024,1.0680300717749107
k_A,0.6437339627381193,0.5305382115707851,0.8497393574588479,1.358906999824497
k_E,0.74835681350939,0.5480225154679685,0.9081066338801538,1.050274248719561
k_G,0.8216593693552041,0.686759698511468,0.9360204929861826,1.11441657953032
threshold,0.6525172803411026,0.5791440612245801,0.7223461053670764,1.0949936024791838
