iteration,score,log_prior,log_posterior,accepted,closure_time,euploid_prevalence,gap,terminal_shear,trisomy21_prevalence
0,12.206947200311255,11.253642867040146,-0.9533043332711095,true,0.005752148628234838,3.6736111111111116,0.7849904293570453,0.0,0.0
1,12.206947200311255,11.253642867040146,-0.9533043332711095,false,0.005752148628234838,3.6736111111111116,0.7849904293570453,0.0,0.0
2,6.742792218833042,11.026874269072849,4.284082050239807,true,0.0038514799541897204,0.21006944444444448,4.071204443712283,0.0,0.0
3,2.0464640716976135,10.757785275746734,8.71132120404912,true,0.0054768583509657125,0.06249999999999997,1.2338325227807767,0.0,0.0
4,2.0464640716976135,10.757785275746734,8.71132120404912,false,0.0054768583509657125,0.06249999999999997,1.2338325227807767,0.0,0.0
5,0.6158365078490328,10.250924416513943,9.63508790866491,true,0.0068331766128539905,0.06249999999999997,0.27872449528650123,0.0,0.0
6,0.6158365078490328,10.250924416513943,9.63508790866491,false,0.0068331766128539905,0.06249999999999997,0.27872449528650123,0.0,0.0
7,0.7555609554843409,10.029387792716792,9.27382683723245,true,0.007560014724731431,0.06249999999999997,0.37114728893149584,0.0,0.0
8,0.7555609554843409,10.029387792716792,9.27382683723245,false,0.007560014724731431,0.06249999999999997,0.37114728893149584,0.0,0.0
9,0.7555609554843409,10.029387792716792,9.27382683723245,false,0.007560014724731431,0.06249999999999997,0.37114728893149584,0.0,0.0
10,0.7555609554843409,10.029387792716792,9.27382683723245,false,0.007560014724731431,0.06249999999999997,0.37114728893149584,0.0,0.0
11,0.7555609554843409,10.029387792716792,9.27382683723245,false,0.007560014724731431,0.06249999999999997,0.37114728893149584,0.0,0.0
12,1.8167805291746122,9.194378485237834,7.377597956063222,true,0.006288327111138257,0.0,0.5006805853427186,0.0,0.26408179012345673
13,0.7448690203571013,9.548926457067822,8.804057436710721,true,0.007500481605529788,0.06249999999999997,0.36407886529920447,0.0,0.0
14,0.9955640680843827,10.073133753002189,9.077569684917806,true,0.007693337864345959,0.0,0.407044847442938,0.0,0.09336419753086418
15,0.9955640680843827,10.073133753002189,9.077569684917806,false,0.007693337864345959,0.0,0.407044847442938,0.0,0.09336419753086418
16,0.9955640680843827,10.073133753002189,9.077569684917806,false,0.007693337864345959,0.0,0.407044847442938,0.0,0.09336419753086418
17,0.9955640680843827,10.073133753002189,9.077569684917806,false,0.007693337864345959,0.0,0.407044847442938,0.0,0.09336419753086418
18,0.9955640680843827,10.073133753002189,9.077569684917806,false,0.007693337864345959,0.0,0.407044847442938,0.0,0.09336419753086418
19,2.1547629442180405,10.04624009572886,7.89147715151082,true,0.006467058923509381,0.0,0.7258234635592997,0.0,0.26408179012345673
20,2.1547629442180405,10.04624009572886,7.89147715151082,false,0.006467058923509381,0.0,0.7258234635592997,0.0,0.26408179012345673
21,2.1547629442180405,10.04624009572886,7.89147715151082,false,0.006467058923509381,0.0,0.7258234635592997,0.0,0.26408179012345673
22,3.026167364623034,9.223699699737677,6.197532335114643,true,0.007266695234510638,0.0,0.3388819182178824,0.0,0.626736111111111
23,2.219616390231284,8.730149284948146,6.510532894716862,true,0.008431392775641542,0.0,0.33499599495056465,0.0,0.4261188271604937
24,2.219616390231284,8.730149284948146,6.510532894716862,false,0.008431392775641542,0.0,0.33499599495056465,0.0,0.4261188271604937
25,1.009371755372062,7.82419546895553,6.814823713583468,true,0.008622818522983113,0.0,0.6622340718896673,0.0,0.0007716049382715995
26,1.009371755372062,7.82419546895553,6.814823713583468,false,0.008622818522983113,0.0,0.6622340718896673,0.0,0.0007716049382715995
27,0.8127622006379469,7.810126950961292,6.997364750323346,true,0.008583992852105017,0.0,0.5080517129229871,0.0,0.009452160493827166
28,0.8127622006379469,7.810126950961292,6.997364750323346,false,0.008583992852105017,0.0,0.5080517129229871,0.0,0.009452160493827166
29,0.8127622006379469,7.810126950961292,6.997364750323346,false,0.008583992852105017,0.0,0.5080517129229871,0.0,0.009452160493827166
30,0.8127622006379469,7.810126950961292,6.997364750323346,false,0.008583992852105017,0.0,0.5080517129229871,0.0,0.009452160493827166
31,0.8127622006379469,7.810126950961292,6.997364750323346,false,0.008583992852105017,0.0,0.5080517129229871,0.0,0.009452160493827166
32,0.8127622006379469,7.810126950961292,6.997364750323346,false,0.008583992852105017,0.0,0.5080517129229871,0.0,0.009452160493827166
33,0.8127622006379469,7.810126950961292,6.997364750323346,false,0.008583992852105017,0.0,0.5080517129229871,0.0,0.009452160493827166
34,0.8127622006379469,7.810126950961292,6.997364750323346,false,0.008583992852105017,0.0,0.5080517129229871,0.0,0.009452160493827166
35,1.2054780705984631,7.11850007558195,5.913022004983486,true,0.008646800253126334,0.0,0.6463426953721866,0.0,0.055748456790123455
36,1.1040483554906206,8.366966922303133,7.2629185668125125,true,0.008631803724500859,0.06249999999999997,0.6024004332692463,0.0,0.0
37,1.455448802133173,7.944351671729772,6.4889028695966,true,0.00866483105553521,0.21006944444444448,0.5414954814776912,0.0,0.0
38,1.455448802133173,7.944351671729772,6.4889028695966,false,0.00866483105553521,0.21006944444444448,0.5414954814776912,0.0,0.0
39,1.455448802133173,7.944351671729772,6.4889028695966,false,0.00866483105553521,0.21006944444444448,0.5414954814776912,0.0,0.0
40,0.6627667588186762,8.975901021194264,8.313134262375588,true,0.00843720383114284,0.06249999999999997,0.3084073020479747,0.0,0.0
41,0.6627667588186762,8.975901021194264,8.313134262375588,false,0.00843720383114284,0.06249999999999997,0.3084073020479747,0.0,0.0
42,0.6627667588186762,8.975901021194264,8.313134262375588,false,0.00843720383114284,0.06249999999999997,0.3084073020479747,0.0,0.0
43,0.6748024013260105,9.180626788498941,8.50582438717293,true,0.007291177643669993,0.06249999999999997,0.31757708990700373,0.0,0.0
44,0.6748024013260105,9.180626788498941,8.50582438717293,false,0.007291177643669993,0.06249999999999997,0.31757708990700373,0.0,0.0
45,0.6748024013260105,9.180626788498941,8.50582438717293,false,0.007291177643669993,0.06249999999999997,0.31757708990700373,0.0,0.0
46,0.6748024013260105,9.180626788498941,8.50582438717293,false,0.007291177643669993,0.06249999999999997,0.31757708990700373,0.0,0.0
47,0.8205460582286236,9.168461851032234,8.34791579280361,true,0.0066006003485785565,0.0,0.39176755369684135,0.0,0.055748456790123455
48,0.8205460582286236,9.168461851032234,8.34791579280361,false,0.0066006003485785565,0.0,0.39176755369684135,0.0,0.055748456790123455
49,0.8205460582286236,9.168461851032234,8.34791579280361,false,0.0066006003485785565,0.0,0.39176755369684135,0.0,0.055748456790123455
50,0.8205460582286236,9.168461851032234,8.34791579280361,false,0.0066006003485785565,0.0,0.39176755369684135,0.0,0.055748456790123455
51,0.8205460582286236,9.168461851032234,8.34791579280361,false,0.0066006003485785565,0.0,0.39176755369684135,0.0,0.055748456790123455
52,1.781228234686635,8.617638085572798,6.836409850886163,true,0.005737394226921924,0.0,1.033085544123839,0.0,0.055748456790123455
53,3.2550534098198316,8.348685955519146,5.093632545699315,true,0.0062636015150281995,0.0,0.49247570873523006,0.0,0.626736111111111
54,0.7507500089243531,8.475904341361781,7.7251543324374286,true,0.008461058404710536,0.0017361111111111104,0.33990417388230676,0.0,0.055748456790123455
55,0.7507500089243531,8.475904341361781,7.7251543324374286,false,0.008461058404710536,0.0017361111111111104,0.33990417388230676,0.0,0.055748456790123455
56,1.814586848261273,7.660392824411577,5.845805976150304,true,0.00784115314483641,0.44444444444444425,0.31299452347379036,0.0,0.0
57,1.814586848261273,7.660392824411577,5.845805976150304,false,0.00784115314483641,0.44444444444444425,0.31299452347379036,0.0,0.0
58,1.814586848261273,7.660392824411577,5.845805976150304,false,0.00784115314483641,0.44444444444444425,0.31299452347379036,0.0,0.0
59,0.4946737731520475,7.089237210443116,6.594563437291068,true,0.007374439239501939,0.0017361111111111104,0.3189358539729742,0.0,0.0
60,0.4946737731520475,7.089237210443116,6.594563437291068,false,0.007374439239501939,0.0017361111111111104,0.3189358539729742,0.0,0.0
