parameter,posterior_mean,lower_credible,upper_credible,rhat
alpha_DMP,0.6475136572640442,0.48612491608070774,0.8438942486758617,1.049715931074487
alpha_EMT,0.7442966622235228,0.5613298213767189,0.9384832477732103,1.912218812165594
k_A,0.642348053415884,0.435674109634654,0.8207538136155851,1.1890493995024365
k_E,0.6733698378550105,0.4361359527666296,0.8450035394674638,1.5145029869059357
k_G,0.8509332454877369,0.7087063774065169,1.0106007006701696,1.1682134963391653
threshold,0.6317037933313181,0.5393225629209059,0.6919060244097472,1.13875814215492
