iteration,score,log_prior,log_posterior,accepted,closure_time,euploid_prevalence,gap,terminal_shear,trisomy21_prevalence
0,13.552527552646035,11.253642867040146,-2.2988846856058895,true,0.004688772095574254,1.6684027777777775,5.693524040779561,0.0,0.0
1,0.8351398414679361,10.1352900160821,9.300150174614163,true,0.00749255551232229,0.06249999999999997,0.4242673387996352,0.0,0.0
2,0.1912579827832239,8.73846102764629,8.547203044863066,true,0.008108901977539062,0.0017361111111111104,0.11592419765572132,0.0,0.0
3,0.1912579827832239,8.73846102764629,8.547203044863066,false,0.008108901977539062,0.0017361111111111104,0.11592419765572132,0.0,0.0
4,0.723598651893403,9.547975791484355,8.824377139590952,true,0.0083589172363281,0.06249999999999997,0.3490401840259406,0.0,0.0
5,0.723598651893403,9.547975791484355,8.824377139590952,false,0.0083589172363281,0.06249999999999997,0.3490401840259406,0.0,0.0
6,0.723598651893403,9.547975791484355,8.824377139590952,false,0.0083589172363281,0.06249999999999997,0.3490401840259406,0.0,0.0
7,1.6794907421121041,10.503446358574298,8.823955616462193,true,0.008640798462761756,0.44444444444444425,0.2221308073897525,0.0,0.0
8,1.6794907421121041,10.503446358574298,8.823955616462193,false,0.008640798462761756,0.44444444444444425,0.2221308073897525,0.0,0.0
9,0.5295293019091843,10.311950833035308,9.782421531126124,true,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
10,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
11,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
12,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
13,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
14,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
15,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
16,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
17,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
18,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
19,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
20,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
21,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
22,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
23,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
24,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
25,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
26,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
27,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
28,0.5295293019091843,10.311950833035308,9.782421531126124,false,0.008495611084832084,0.0,0.3445239235212908,0.0,0.0
29,1.716589954622015,10.413935912180277,8.697345957558262,true,0.007555551528930642,0.44444444444444425,0.24794886266352403,0.0,0.0
30,2.248440668114782,10.736464045366509,8.488023377251727,true,0.0067305670844183835,0.44444444444444425,0.6033409894365479,0.0,0.0
31,2.248440668114782,10.736464045366509,8.488023377251727,false,0.0067305670844183835,0.44444444444444425,0.6033409894365479,0.0,0.0
32,2.248440668114782,10.736464045366509,8.488023377251727,false,0.0067305670844183835,0.44444444444444425,0.6033409894365479,0.0,0.0
33,2.248440668114782,10.736464045366509,8.488023377251727,false,0.0067305670844183835,0.44444444444444425,0.6033409894365479,0.0,0.0
34,2.7168676640546416,10.287963523595298,7.571095859540657,true,0.008162579006618905,0.7656249999999998,0.27183253036314287,0.0,0.0
35,2.7168676640546416,10.287963523595298,7.571095859540657,false,0.008162579006618905,0.7656249999999998,0.27183253036314287,0.0,0.0
36,2.4960022420614623,10.707156045032777,8.211153802971314,true,0.006166076660156238,0.0017361111111111104,1.6543631958252631,0.0,0.0
37,1.2767053541970312,10.741202928770166,9.464497574573135,true,0.006464642948574488,0.0,0.8446722598494464,0.0,0.0
38,1.2767053541970312,10.741202928770166,9.464497574573135,false,0.006464642948574488,0.0,0.8446722598494464,0.0,0.0
39,1.2767053541970312,10.741202928770166,9.464497574573135,false,0.006464642948574488,0.0,0.8446722598494464,0.0,0.0
40,1.2767053541970312,10.741202928770166,9.464497574573135,false,0.006464642948574488,0.0,0.8446722598494464,0.0,0.0
41,1.2767053541970312,10.741202928770166,9.464497574573135,false,0.006464642948574488,0.0,0.8446722598494464,0.0,0.0
42,1.2767053541970312,10.741202928770166,9.464497574573135,false,0.006464642948574488,0.0,0.8446722598494464,0.0,0.0
43,1.2767053541970312,10.741202928770166,9.464497574573135,false,0.006464642948574488,0.0,0.8446722598494464,0.0,0.0
44,1.000021403612249,10.251827818211508,9.251806414599258,true,0.008205376731024852,0.21006944444444448,0.23833667012158555,0.0,0.0
45,1.000021403612249,10.251827818211508,9.251806414599258,false,0.008205376731024852,0.21006944444444448,0.23833667012158555,0.0,0.0
46,1.000021403612249,10.251827818211508,9.251806414599258,false,0.008205376731024852,0.21006944444444448,0.23833667012158555,0.0,0.0
47,1.000021403612249,10.251827818211508,9.251806414599258,false,0.008205376731024852,0.21006944444444448,0.23833667012158555,0.0,0.0
48,1.000021403612249,10.251827818211508,9.251806414599258,false,0.008205376731024852,0.21006944444444448,0.23833667012158555,0.0,0.0
49,1.000021403612249,10.251827818211508,9.251806414599258,false,0.008205376731024852,0.21006944444444448,0.23833667012158555,0.0,0.0
50,1.000021403612249,10.251827818211508,9.251806414599258,false,0.008205376731024852,0.21006944444444448,0.23833667012158555,0.0,0.0
51,1.000021403612249,10.251827818211508,9.251806414599258,false,0.008205376731024852,0.21006944444444448,0.23833667012158555,0.0,0.0
52,1.000021403612249,10.251827818211508,9.251806414599258,false,0.008205376731024852,0.21006944444444448,0.23833667012158555,0.0,0.0
