label,metric,value
trisomy21,n_embryos,96.0
trisomy21,prevalence,0.21875
trisomy21,closure_fraction,0.125
trisomy21,mean_closure_time,3.4683333333333337
trisomy21,mean_gap,0.4070504289687496
trisomy21,median_gap,0.4359457840537123
trisomy21,std_gap,0.18983166110173025
trisomy21,mean_linear_score,0.7890937511898556
trisomy21,mean_nonlinear_score,0.6809161559226539
trisomy21,mean_probability,0.35652913715955353
trisomy21,mean_terminal_shear,1.308452092404795
trisomy21,mean_peak_shear,1.3126088045676025
