embryo_id,solver,trisomy21,phenotype,final_C,final_D,final_G,final_E,final_A,linear_score,nonlinear_score,probability,closure_time,closed,terminal_shear,peak_shear
1,stochastic_heun,false,true,0.655643947927177,1.119550255373192,0.4123150536000564,0.27906609931323223,0.6256493221915176,0.6736205165252277,0.6138031797337847,0.5525640283674962,3.5,false,1.3091261369303775,1.3342496119671012
2,stochastic_heun,false,true,0.52324029590207,0.7761405911497262,0.454034393658017,0.23495747094393687,0.6320389866781149,0.5611548905760602,0.5045680307388233,0.7522709349180005,3.5,false,1.1591922013392968,1.1591922013392968
3,stochastic_heun,false,false,0.8307447986776608,1.4497256784043306,0.04183869283291036,0.442582153708629,0.6214883219352646,0.9532857663936374,0.8359978395494213,0.11647055432602592,3.2,true,2.12882201389072,2.12882201389072
4,stochastic_heun,false,false,0.8931708807119885,1.2814351977543081,0.007807559307576325,0.42533820468857814,0.5910494730401459,0.9351713782271367,0.8060687638679366,0.1322314740474908,2.94,true,2.263792570320204,2.263792570320204
5,stochastic_heun,false,false,0.7952957297874502,1.097023741550196,7.999999999999998,0.4408354333332766,0.5757710425498777,0.8838012461620963,0.7979376314021467,0.18688030865221597,3.07,true,0.013283912874520144,2.289039328519045
6,stochastic_heun,false,false,0.9639654619685282,1.1774972525966858,0.23989307566742538,0.37645009121274065,0.5865401997482194,0.9058541080065412,0.8018148029056575,0.1615374566094947,3.5,false,1.6139559799447225,1.6139559799447225
7,stochastic_heun,false,false,0.8820173334794383,0.901582246061303,0.4222557720244547,0.26739392078183405,0.5354966494079701,0.7659032912208381,0.6754488120132407,0.37116403458250136,3.5,false,1.2498625564522274,1.2498625564522274
8,stochastic_heun,false,false,0.6474831037950967,1.1483902818139224,0.4715113745892977,0.2554051316178702,0.7142306612822554,0.780837831645921,0.6786552930628474,0.3437329711149513,3.5,false,1.172645191322436,1.1736139010829552
9,stochastic_heun,false,true,0.5353551113336615,0.7798447199615723,0.6408789555423205,0.27965680573047313,0.5494587089777294,0.5725605195536018,0.5301284528815037,0.7348782809352088,3.5,false,0.9875601900368915,0.9875601900368915
10,stochastic_heun,false,false,1.043626212949457,1.200265163554786,0.2946347954722401,0.4350811257510254,0.5592835581908573,0.9353963408099886,0.8474320234790537,0.13202510168300657,3.5,false,1.44081468120818,1.4790530244675693
11,stochastic_heun,false,false,1.2303666051686226,0.8788502541864613,7.997199434652596,0.44204048561467196,0.6266698411451713,0.9621155953369441,0.8793565040931902,0.10939607748374996,3.03,true,0.018429738344319827,2.266263494825257
12,stochastic_heun,false,false,0.7078867154157158,1.4097451031663475,7.924364578751658,0.3326820923326698,0.6824713565097719,1.0025358198259675,0.8161947748633679,0.08163876847511668,2.88,true,0.017852282604351524,2.1236417123719287
13,stochastic_heun,false,false,0.7603549705520326,1.1313703799095032,0.46506613655669604,0.2629187139166724,0.5698498733523149,0.7652934487696437,0.6748384488664513,0.3723034526498368,3.5,false,1.135633036625684,1.135633036625684
14,stochastic_heun,false,false,0.7617274149138554,1.4876578391797024,0.10549900234204271,0.355266239641604,0.6891921324412185,0.83398249407593,0.7373821646554636,0.2550495335623389,3.34,true,1.9324658298660633,1.9324658298660633
15,stochastic_heun,false,false,1.1284154611086938,1.657843556895532,0.13119361776997515,0.38918272926360037,0.5997912806033951,1.1202550394065163,0.9501467717260708,0.03350309365593367,3.43,true,1.9100001763686287,1.9100001763686287
16,stochastic_heun,false,false,0.5336189285978785,1.2196296973068719,0.6972253793628362,0.12942195819293142,0.4976531743297383,0.7346672754351289,0.5525224877712211,0.4311064713800218,3.5,false,0.9260744313435915,0.9409068440337448
17,stochastic_heun,false,false,0.8497303099548438,0.8070289072183443,0.533164616857137,0.30127553975635396,0.5977451856033644,0.7342154938957521,0.6726650557953098,0.43199309987101664,3.5,false,1.1354694827089586,1.1354694827089586
18,stochastic_heun,false,false,0.8379518883841204,0.8249759575557694,0.5703162096559986,0.3163039235223469,0.5791436005352778,0.7484732266837222,0.6869321629875258,0.4042504344733792,3.5,false,1.0405927402724577,1.0405927402724577
19,stochastic_heun,false,false,0.7777548923940624,0.9097004754808967,0.023736479695831026,0.4222730890575407,0.48260440956185974,0.7455839286599821,0.6912196362025871,0.4098292168616798,3.05,true,2.224664452081423,2.2269222482034534
20,stochastic_heun,false,false,0.854421122194207,1.1796640046845517,0.3910073465748791,0.32561870302122786,0.6616370255854216,0.9142870373737045,0.782101793811716,0.15260729604158288,3.5,false,1.3041125577197492,1.3111038920405849
21,stochastic_heun,false,false,1.3040964266444386,1.3575848855270627,7.738674374072516,0.33539323117509084,0.5633576592291119,1.110138149366587,0.9287710607957169,0.0362251110834159,2.58,true,0.015149936473511132,1.9505907141645362
22,stochastic_heun,true,false,1.0866286866538417,0.8822432346945763,0.5572381532573824,0.3227625228205468,0.5058686750868343,0.9040549838005811,0.7803790889308669,0.16349639752630318,3.5,false,1.1147502079771145,1.1147502079771145
23,stochastic_heun,true,false,0.7282027336643451,1.3235259092916896,0.3312537455493495,0.3191393455535543,0.6553553689627848,0.9278647436045437,0.7788956897501704,0.13908411048435998,3.5,false,1.52702672993382,1.52702672993382
24,stochastic_heun,true,false,0.7573934707937322,1.2295130480830663,0.2871617907432259,0.30917483632435594,0.6386903932873863,0.7606285756541709,0.6935852837774515,0.3810653985021111,3.5,false,1.5940855093688304,1.5948773475084388
25,stochastic_heun,false,false,0.9489177267771567,1.3979354180106218,0.19899100960990343,0.350307599933121,0.6060856395530533,0.902198818871945,0.7752471168019773,0.16553743076344318,3.5,false,1.7774585784598425,1.7774585784598425
26,stochastic_heun,true,false,0.7690396614797054,1.155243586901679,0.37629112238408535,0.30506976713425454,0.5857089200651068,0.8655901801516642,0.743263342490853,0.21003384121034308,3.5,false,1.2400263092662076,1.2400263092662076
27,stochastic_heun,false,false,0.9000791624406256,1.712572601115223,7.989326138687323,0.41297279937656783,0.6214094728407542,0.9528858836813596,0.828426395347827,0.11680015841717793,2.99,true,0.027114665977473362,2.266264004658964
28,stochastic_heun,false,false,0.6705593588882083,1.3927967516335598,0.6192493599423876,0.23173388492011562,0.5696298917318603,0.8782872410109347,0.6778569545084047,0.19367616537362092,3.5,false,0.8604538597797302,0.8604538597797302
