embryo_id,solver,trisomy21,phenotype,final_C,final_D,final_G,final_E,final_A,linear_score,nonlinear_score,probability,closure_time,closed,terminal_shear,peak_shear
1,stochastic_heun,false,true,0.6110851526523872,1.1317011990643704,0.48271360482561654,0.230062967141339,0.643141925701361,0.6551144896855159,0.5809330189107104,0.5002781855840261,3.5,false,1.2010639696913998,1.2239713154374636
2,stochastic_heun,false,true,0.5033010169651455,0.8008058723812016,0.4730813712220317,0.21563969027181654,0.6540900255294805,0.563172563873984,0.4965207262776568,0.6762624642911087,3.5,false,1.1299919297358911,1.1299919297358911
3,stochastic_heun,false,false,0.8044593490342811,1.5084086533391228,0.07537830391087474,0.3898894677922765,0.6437808481515727,0.9565223053584249,0.8197411818738506,0.08240199204683343,3.31,true,2.0071605272217603,2.0071605272217603
4,stochastic_heun,false,false,0.7893523491284862,1.2703483359575252,0.13496721417156107,0.341459273623219,0.6044707853883032,0.8859931761174806,0.7404872040477927,0.1363530306471872,3.19,true,1.829273940437743,1.829273940437743
5,stochastic_heun,false,false,0.6977354189327925,1.0790223956031328,0.18521275129529832,0.34868927574160546,0.587729979659179,0.8252345624519809,0.7272727595375995,0.20426503343567143,3.5,false,1.697166329508098,1.698029675582339
6,stochastic_heun,false,false,0.86489702613372,1.1794114190622873,0.38569097515263595,0.2886266356499267,0.6023991965044694,0.8593642715330774,0.7362233241077519,0.1634354583028362,3.5,false,1.3275811065691416,1.3296131613382451
7,stochastic_heun,false,false,0.8368945125834544,0.9299803783498016,0.4614061436852619,0.24244194887037435,0.5553437991143311,0.7590765601331194,0.6601301856869978,0.30352163842149843,3.5,false,1.188230988447596,1.188230988447596
8,stochastic_heun,false,false,0.6020589799792951,1.1541648239587041,0.5322630411451658,0.23241375517714094,0.7298928400199264,0.7639876137860644,0.6528720791989885,0.2952808847413183,3.5,false,1.0862588979637742,1.0872783475397862
9,stochastic_heun,false,true,0.5593362108377534,0.856000425990233,0.5793012589954395,0.28090321290049164,0.5807320170248784,0.609444612711606,0.5576385943269757,0.5906061565231169,3.5,false,1.060722977201248,1.060722977201248
10,stochastic_heun,false,false,1.0259049002065908,1.2673496949589727,0.30350934729443135,0.3868063944064131,0.5830769167145576,0.944103838589229,0.8410268688849403,0.09023228254131838,3.5,false,1.4222657701089885,1.458194477788489
11,stochastic_heun,false,false,1.1042424057307707,0.8777054048635929,0.15113722469416563,0.34228083866633185,0.6416420835255976,0.9045740971013502,0.8080138966096136,0.11977483731948052,3.45,true,1.8447675615006949,1.852854764114985
12,stochastic_heun,false,false,0.647376485788066,1.4185125444276736,0.03730554788327396,0.3477728910921441,0.6980993891031309,0.9892631671535457,0.8029793713645617,0.06464129331236959,3.0,true,2.168462245508254,2.168462245508254
13,stochastic_heun,false,false,0.6793524695672186,1.1167566654703465,0.5518110668184226,0.22428448803920814,0.5830148654918278,0.7254487422722942,0.6292818518860255,0.36318628707668976,3.5,false,1.012530749093009,1.012530749093009
14,stochastic_heun,false,false,0.6668093179112309,1.4679193890298718,0.2722881908210911,0.2524976491676521,0.7022798767914448,0.7809167764081011,0.6576393710121552,0.267899566313035,3.5,false,1.5004172196395837,1.5004172196395837
15,stochastic_heun,false,false,0.8990248865506205,1.511889061573801,0.4842160070281837,0.24852410923110924,0.5991256031139575,0.9618450222920217,0.7837675371779316,0.07923902785426273,3.5,false,1.2246583436620615,1.2246583436620615
16,stochastic_heun,false,false,0.5271860980431323,1.2836403815519604,0.6938031626652987,0.11807256430789244,0.5214922011142217,0.7544444753778679,0.5522715486653005,0.3114118256001789,3.5,false,0.9296428955837609,0.9441792493011059
17,stochastic_heun,false,false,0.8873108830536911,0.8873842551758832,0.47847537033401705,0.3042621747908194,0.630549583120823,0.7808817409809523,0.7082394567800797,0.2679545417043102,3.5,false,1.211764901925197,1.211764901925197
18,stochastic_heun,false,false,0.9229630259397638,0.9266756511086904,0.40578552314866484,0.34744344109485936,0.6151170981715783,0.824089574580863,0.7544205467968959,0.2057579253247988,3.5,false,1.2806461078951457,1.2806461078951457
19,stochastic_heun,false,false,0.7728127951364189,0.9696473365274358,7.9975509783601115,0.3975555210499927,0.5078439841642055,0.7636041520981608,0.6994628276535456,0.29591964198814424,3.04,true,0.02513527833025542,2.2832725558296767
20,stochastic_heun,false,false,0.7367023076904883,1.1356439121439483,0.5569307268696442,0.24829627310660995,0.6701597070660811,0.8456757065517395,0.6984979525171491,0.1789647782738985,3.5,false,1.0560614537896986,1.0622871999417127
21,stochastic_heun,false,false,1.3416596496556845,1.4556622976745255,0.3918917569073023,0.3966180656761004,0.5910133692061569,1.1738283669136922,0.9966089286321197,0.015541187930697909,2.51,true,1.2659105473508987,1.9505907141645362
22,stochastic_heun,false,false,1.094686923145934,0.9746598936145032,0.5268134771996883,0.3160920529405209,0.5347873062164474,0.9376437070272554,0.8077177677147128,0.09456560502532389,3.5,false,1.154736658431162,1.154736658431162
23,stochastic_heun,false,false,0.7290310215626277,1.4564663519535515,0.30892867718225464,0.2982631019244494,0.6821627181225058,0.9758807860224505,0.7936886297416221,0.07142404339687854,3.5,false,1.5669045274657394,1.5669045274657394
24,stochastic_heun,false,false,0.6720305510226421,1.2492322660003545,0.4160724072585648,0.24192562019094047,0.653046522574006,0.7235932817110834,0.638671130997574,0.36662628708787953,3.5,false,1.3717817233777094,1.3727572937832762
25,stochastic_heun,false,false,0.8210638638439679,1.3558718308023145,0.3901475312475207,0.26541494875979177,0.6164653281642991,0.837011269123359,0.6942167229106655,0.18937728515425437,3.5,false,1.4172479047463629,1.4172479047463629
26,stochastic_heun,false,false,0.8078943781590285,1.289960193337089,0.3025750731765825,0.31611667697416695,0.6185729965851361,0.935633788726593,0.7914835950272798,0.09595137023366433,3.5,false,1.3856581705708542,1.3856581705708542
27,stochastic_heun,false,false,0.7123000036538353,1.5758197567696304,0.3576842593663618,0.28278457555630176,0.6225922291359595,0.8302955885164707,0.6933046582252531,0.19776279108286474,3.5,false,1.5018164916799246,1.5058866743057848
28,stochastic_heun,false,false,0.6759389078836565,1.469928029714825,0.6083068821346173,0.22050475407623052,0.594848531341968,0.9101455586030369,0.6881024769971159,0.11515475877444653,3.5,false,0.8733020238475926,0.8733020238475926
29,stochastic_heun,false,false,0.7105038218289487,1.0779474607557888,0.3679186620004987,0.3396574956504875,0.6443460725169754,0.7838200424769416,0.7093559279257472,0.263368867657463,3.5,false,1.3222696732525123,1.3335044518129509
30,stochastic_heun,false,false,0.8545546473716065,1.1515071662563754,0.1499081958461409,0.4034124072425753,0.6172434536611867,0.9730647791902776,0.8716801274334707,0.07293266558574721,3.43,true,1.8557039361058816,1.8657740842974975
31,stochastic_heun,false,false,0.675004539838331,1.1206805883687552,0.5481936112166235,0.18762988029105968,0.5786820612881467,0.7958705982775551,0.6341135240749766,0.24509683113404376,3.5,false,1.088757150364135,1.091959067750549
32,stochastic_heun,false,false,0.8937818199882093,0.7392715850676368,7.895297921968028,0.38365800396958755,0.5905830455649446,0.7913704056257812,0.739592202468589,0.25181895605719584,2.8,true,0.016867984133375768,2.102511035471966
33,stochastic_heun,false,false,0.956156521555407,1.0478992328157903,0.1283105254457881,0.4126507020951882,0.5984357378486012,0.9426830823352302,0.8568005911401563,0.09116968212741355,3.4,true,1.9118594353531795,1.9340847386817575
34,stochastic_heun,false,false,0.9988727088887182,1.700543194748194,7.865370180017548,0.32735834510881623,0.5797872951492081,1.2177784940324652,0.946164805750421,0.010984777285445628,2.85,true,0.022211261774037008,2.0660216907481117
35,stochastic_heun,false,false,1.0262010892122984,1.3119034556270284,0.18703428339230121,0.38224529453407813,0.6064938462387784,0.9203262199981843,0.8142667413847271,0.10711248173779737,3.5,false,1.7765637670916208,1.7765637670916208
36,stochastic_heun,false,false,0.7525415930828296,1.439816304609079,0.1818852836108418,0.3580896171700725,0.6956566044830245,0.8964490214919247,0.784764361153847,0.12679890061143678,3.5,false,1.7238042977790196,1.7238042977790196
37,stochastic_heun,false,false,0.727124467514749,1.378527371868584,0.4797161620477744,0.25389154899905786,0.6234911560800966,0.8399790141335163,0.7011900891400703,0.1857594239917937,3.5,false,1.1138962137831137,1.1294306451407594
38,stochastic_heun,false,false,0.9493780636442045,1.1365497787804297,7.9989250361934765,0.3901293478786784,0.6446050402835745,0.9633598435884481,0.8497166498750608,0.07835935074211199,3.01,true,0.016028055250421624,2.277615691234497
39,stochastic_heun,false,false,0.7208138775399636,1.2650069283666672,0.25138931935815556,0.22309891651696068,0.6927513907765169,0.8199930901362137,0.6935075942316764,0.2111652155379578,3.5,false,1.429779768901512,1.4644784124598627
