parameter,posterior_mean,lower_credible,upper_credible,rhat
alpha_DMP,0.6577094901780489,0.4895511949509078,0.8758978319322496,1.463339076216999
alpha_EMT,0.7097455875412038,0.5717692071987241,0.8411830853777787,1.5423099648623375
k_A,0.6925656870046843,0.5462773335912813,0.923680197119839,1.017928896121128
k_E,0.6698375749951172,0.5115236929858854,0.82827669327148,1.571804332817679
k_G,0.8270245376060058,0.6031507217386254,1.0175711164924086,1.1831904497567005
threshold,0.6375642258234705,0.5627172466272762,0.699922298242646,1.3152508302481383
