label,metric,value
trisomy21,n_embryos,96.0
trisomy21,prevalence,0.21875
trisomy21,closure_fraction,0.15625
trisomy21,mean_closure_time,3.4457291666666667
trisomy21,mean_gap,0.7157791283123415
trisomy21,median_gap,0.4324638863568857
trisomy21,std_gap,1.517880404738018
trisomy21,mean_linear_score,0.7972231852532392
trisomy21,mean_nonlinear_score,0.6988017759468365
trisomy21,mean_probability,0.3377632202038259
trisomy21,mean_terminal_shear,1.2641045606378942
trisomy21,mean_peak_shear,1.3581919445519262
